Model	mdlname	Par
226	'[x^3, x^2*y^2, x^2*y, 1]'	4
227	'[y^3, x^2*y^2, x^2*y, 1]'	4
228	'[x^2, x^2*y^2, x^2*y, 1]'	4
229	'[y^2, x^2*y^2, x^2*y, 1]'	4
230	'[x, x^2*y^2, x^2*y, 1]'	4
231	'[y, x^2*y^2, x^2*y, 1]'	4
232	'[x*y, x^2*y^2, x^2*y, 1]'	4
233	'[x^3, x^3*y^3, x^2*y, 1]'	4
234	'[y^3, x^3*y^3, x^2*y, 1]'	4
235	'[x^2, x^3*y^3, x^2*y, 1]'	4
236	'[y^2, x^3*y^3, x^2*y, 1]'	4
237	'[x, x^3*y^3, x^2*y, 1]'	4
238	'[y, x^3*y^3, x^2*y, 1]'	4
239	'[x*y, x^3*y^3, x^2*y, 1]'	4
240	'[x^2*y^2, x^3*y^3, x^2*y, 1]'	4
241	'[x^3, y^3, x^3*y, 1]'	4
242	'[x^3, x^2, x^3*y, 1]'	4
243	'[y^3, x^2, x^3*y, 1]'	4
244	'[x^3, y^2, x^3*y, 1]'	4
245	'[y^3, y^2, x^3*y, 1]'	4
246	'[x^2, y^2, x^3*y, 1]'	4
247	'[x^3, x, x^3*y, 1]'	4
248	'[y^3, x, x^3*y, 1]'	4
249	'[x^2, x, x^3*y, 1]'	4
250	'[y^2, x, x^3*y, 1]'	4
251	'[x^3, y, x^3*y, 1]'	4
252	'[y^3, y, x^3*y, 1]'	4
253	'[x^2, y, x^3*y, 1]'	4
254	'[y^2, y, x^3*y, 1]'	4
255	'[x, y, x^3*y, 1]'	4
256	'[x^3, x*y, x^3*y, 1]'	4
257	'[y^3, x*y, x^3*y, 1]'	4
258	'[x^2, x*y, x^3*y, 1]'	4
259	'[y^2, x*y, x^3*y, 1]'	4
260	'[x, x*y, x^3*y, 1]'	4
261	'[y, x*y, x^3*y, 1]'	4
262	'[x^3, x^2*y^2, x^3*y, 1]'	4
263	'[y^3, x^2*y^2, x^3*y, 1]'	4
264	'[x^2, x^2*y^2, x^3*y, 1]'	4
265	'[y^2, x^2*y^2, x^3*y, 1]'	4
266	'[x, x^2*y^2, x^3*y, 1]'	4
267	'[y, x^2*y^2, x^3*y, 1]'	4
268	'[x*y, x^2*y^2, x^3*y, 1]'	4
269	'[x^3, x^3*y^3, x^3*y, 1]'	4
270	'[y^3, x^3*y^3, x^3*y, 1]'	4
271	'[x^2, x^3*y^3, x^3*y, 1]'	4
272	'[y^2, x^3*y^3, x^3*y, 1]'	4
273	'[x, x^3*y^3, x^3*y, 1]'	4
274	'[y, x^3*y^3, x^3*y, 1]'	4
275	'[x*y, x^3*y^3, x^3*y, 1]'	4
276	'[x^2*y^2, x^3*y^3, x^3*y, 1]'	4
277	'[x^3, x^2*y, x^3*y, 1]'	4
278	'[y^3, x^2*y, x^3*y, 1]'	4
279	'[x^2, x^2*y, x^3*y, 1]'	4
280	'[y^2, x^2*y, x^3*y, 1]'	4
281	'[x, x^2*y, x^3*y, 1]'	4
